1990,"The Adventures of Ford Fairlane",104,Action,R,6.3,Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
1990,Days of Thunder,107,Action,PG-13,5.9,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid
1990,Kindergarten Cop,111,Action,PG-13,6,Ivan Reitman,Richard Tyson,Cathy Moriarty,Penelope Ann Miller
1990,Dick Tracy,105,Action,PG,"6.1",Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel
1990,Die Hard 2,124,Action,R,7.1,Renny Harlin,Bruce Willis,John Amos,Franco Nero
1990,Total Recall,113,Action,R,7.5,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,actor 4?
1990,Total Recall,113,Action,R,7.5,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell
1990,The Hunt for Red October,135,Action,PG,7.6,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance
1991,Beastmaster 2: Through the Portal of Time,107,Action,PG-13,3.8,Sylvio Tabet,Michael Berryman,Kari Wuhrer,Marc Singer
1991,Showdown in Little Tokyo,79,Action,R,6,Mark L. Lester,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson
1991,Harley Davidson and the Marlboro Man,98,Action,R,6,Simon Wincer,Vanessa Williams,Tia Carrere,Don Johnson
1991,Stone Cold,88,Action,R,5.9,Craig R. Baxley,Brian Bosworth,Sam McMurray,Richard Gant
1991,"Flight of the Intruder",115,Action,PG-13,5.7,John Milius,Rosanna Arquette,Dann Florek,Christopher Rich
2991,Hudson Hawk,100,Action,R,5.7,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant
1991,Double Impact,110,Action,R,5.5,Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa
1991,Star Trek VI: The Undiscovered Country,110,Action,PG,7.2,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88,Action,PG,6,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.
1991,Robin Hood: Prince of Thieves,155,Action,PG-13,6.9,Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott
1991,Terminator 2: Judgment Day,153,Action,R,8.5,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson
1990,"The Adventures of Ford Fairlane",104,Action,R,6.3,Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
1990,Days of Thunder,107,Action,PG-13,5.9,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid
1990,Kindergarten Cop,111,Action,PG-13,6,Ivan Reitman,Richard Tyson,Cathy Moriarty,Penelope Ann Miller
1990,Dick Tracy,105,Action,PG,"6.1",Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel
1990,Die Hard 2,124,Action,R,7.1,Renny Harlin,Bruce Willis,John Amos,Franco Nero
1990,Total Recall,113,Action,R,7.5,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,actor 4?
1990,Total Recall,113,Action,R,7.5,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell
1990,The Hunt for Red October,135,Action,PG,7.6,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance
1991,Beastmaster 2: Through the Portal of Time,107,Action,PG-13,3.8,Sylvio Tabet,Michael Berryman,Kari Wuhrer,Marc Singer
1991,Showdown in Little Tokyo,79,Action,R,6,Mark L. Lester,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson
1991,Harley Davidson and the Marlboro Man,98,Action,R,6,Simon Wincer,Vanessa Williams,Tia Carrere,Don Johnson
1991,Stone Cold,88,Action,R,5.9,Craig R. Baxley,Brian Bosworth,Sam McMurray,Richard Gant
1991,"Flight of the Intruder",115,Action,PG-13,5.7,John Milius,Rosanna Arquette,Dann Florek,Christopher Rich
2991,Hudson Hawk,100,Action,R,5.7,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant
1991,Double Impact,110,Action,R,5.5,Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa
1991,Star Trek VI: The Undiscovered Country,110,Action,PG,7.2,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88,Action,PG,6,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.
1991,Robin Hood: Prince of Thieves,155,Action,PG-13,6.9,Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott
1991,Terminator 2: Judgment Day,153,Action,R,8.5,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson
