1990,Back to the Future Part III,118,Adventure,PG,7.4,Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
1990,Dances with Wolves,236,Adventure,PG-13,8,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin
1991,Return to the Blue Lagoon,102,Adventure,PG-13,5.1,William A. Graham,Milla Jovovich,Wayne Pygram,Lisa Pelikan
1991,White Fang,107,Adventure,PG,6.7,Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan
1991,Bill & Ted's Bogus Journey,93,Adventure,PJ,6.2,Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter
1991,Hook,333,Adventure,PG,6.7,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins
1990,Back to the Future Part III,118,Adventure,PG,7.4,Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
1990,Dances with Wolves,236,Adventure,PG-13,8,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin
1991,Return to the Blue Lagoon,102,Adventure,PG-13,5.1,William A. Graham,Milla Jovovich,Wayne Pygram,Lisa Pelikan
1991,White Fang,107,Adventure,PG,6.7,Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan
1991,Bill & Ted's Bogus Journey,93,Adventure,PJ,6.2,Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter
1991,Hook,333,Adventure,PG,6.7,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins
